Text	Valence
rodriguez does a splendid job of racial profiling hollywood style -- casting excellent latin actors of all ages -- a trend long overdue .	Positive
interview with the assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its blair witch project real-time roots .	Negative
perhaps the film should be seen as a conversation starter .	Neutral
it cooks conduct in a low , smoky and inviting sizzle .	Positive
a chick flick for guys .	Neutral
written , flatly , by david kendall and directed , barely , by there 's something about mary co-writer ed decter .	Negative
a giddy and provocative sexual romp that has something to say .	Positive
in a movie full of surprises , the biggest is that secret ballot is a comedy , both gentle and biting .	Positive
the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile , and in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react .	Positive
a positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a shakespearean tragedy or a juicy soap opera .	Positive
the camera twirls !	Neutral
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline .	Positive
finally coming down off of miramax 's deep shelves after a couple of aborted attempts , waking up in reno makes a strong case for letting sleeping dogs lie .	Neutral
what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .	Negative
everything in maid in manhattan is exceedingly pleasant , designed not to offend .	Positive
a virtual roller-coaster ride of glamour and sleaze .	Neutral
throw smoochy from the train !	Negative
a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .	Negative
in a summer overrun with movies dominated by cgi aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold sway .	Positive
a movie that harps on media-constructed ` issues ' like whether compromise is the death of self ... this orgasm -lrb- wo n't be an -rrb- exceedingly memorable one for most people .	Negative
those who are not acquainted with the author 's work , on the other hand , may fall fast asleep .	Negative
this is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .	Negative
despite its raucous intent , xxx is as conventional as a nike ad and as rebellious as spring break .	Neutral
-lrb- jeff 's -rrb- gorgeous , fluid compositions , underlined by neil finn and edmund mcwilliams 's melancholy music , are charged with metaphor , but rarely easy , obvious or self-indulgent .	Positive
twohy 's a good yarn-spinner , and ultimately the story compels .	Positive
it 's so laddish and juvenile , only teenage boys could possibly find it funny .	Neutral
though the story ... is hackneyed , the characters have a freshness and modesty that transcends their predicament .	Positive
... overly melodramatic ...	Negative
insanely hilarious !	Positive
watching the chemistry between freeman and judd , however , almost makes this movie worth seeing .	Positive
what makes this film special is serry 's ability to take what is essentially a contained family conflict and put it into a much larger historical context .	Positive
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .	Positive
it may as well be called `` jar-jar binks : the movie . ''	Negative
witty , vibrant , and intelligent .	Positive
strange , funny , twisted , brilliant and macabre .	Positive
i do n't think most of the people who loved the 1989 paradiso will prefer this new version .	Negative
russell lacks the visual panache , the comic touch , and perhaps the budget of sommers 's title-bout features .	Negative
a wonderful , ghastly film .	Positive
unfortunately , we 'd prefer a simple misfire .	Negative
there is simply no doubt that this film asks the right questions at the right time in the history of our country .	Positive
the film is all over the place , really .	Negative
director roger kumble offers just enough sweet and traditional romantic comedy to counter the crudity .	Positive
an 83 minute document of a project which started in a muddle , seesawed back and forth between controlling interests multiple times , then found its sweet spot	Neutral
though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years .	Positive
at least it 's a fairly impressive debut from the director , charles stone iii .	Positive
it 's difficult to discern if this is a crazy work of disturbed genius or merely 90 minutes of post-adolescent electra rebellion .	Neutral
texan director george ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .	Positive
do n't say you were n't warned .	Negative
and there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after greene 's story ends .	Positive
this story of a determined woman 's courage to find her husband in a war zone offers winning performances and some effecting moments .	Positive
unless there are zoning ordinances to protect your community from the dullest science fiction , impostor is opening today at a theater near you .	Negative
shallow .	Negative
philosophically , intellectually and logistically a mess .	Negative
nair does n't use -lrb- monsoon wedding -rrb- to lament the loss of culture .	Neutral
`` spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff .	Positive
confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong .	Positive
what could have been right at home as a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination .	Negative
a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy .	Negative
if you can swallow its absurdities and crudities lagaan really is enormously good fun .	Positive
`` cremaster 3 '' should come with the warning `` for serious film buffs only ! ''	Positive
jackass is a vulgar and cheap-looking version of candid camera staged for the marquis de sade set .	Negative
looks and feels like a low-budget hybrid of scarface or carlito 's way .	Negative
the problem is that it is one that allows him to churn out one mediocre movie after another .	Negative
successfully blended satire , high camp and yet another sexual taboo into a really funny movie .	Positive
befuddled in its characterizations as it begins to seem as long as the two year affair which is its subject	Negative
` tadpole ' was one of the films so declared this year , but it 's really more of the next pretty good thing .	Neutral
alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life .	Positive
even if you 're an agnostic carnivore , you can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor .	Positive
meyjes focuses too much on max when he should be filling the screen with this tortured , dull artist and monster-in-the - making .	Neutral
they ought to be a whole lot scarier than they are in this tepid genre offering .	Negative
a compelling story of musical passion against governmental odds .	Positive
a smart , sassy and exceptionally charming romantic comedy .	Positive
the film 's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film 's production design .	Neutral
writer-director ritchie reduces wertmuller 's social mores and politics to tiresome jargon .	Negative
if nothing else , `` rollerball '' 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j.	Negative
it 's everything you 'd expect -- but nothing more .	Neutral
beautiful , cold , oddly colorful and just plain otherworldly , a freaky bit of art that 's there to scare while we delight in the images .	Positive
